user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	aa_percent	translation_table	red_value	warnings
MAG097	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-269;s__	N/A	N/A	N/A	N/A	N/A	GCA_000431335.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-269;s__CAG-269 sp000431335	80.1	0.49	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-269;s__	Placement	taxonomic classification fully defined by topology	GCA_001916005.1, s__CAG-269 sp001916005, 95.0, 79.42, 0.48; GCA_001916065.1, s__CAG-269 sp001916065, 95.0, 79.33, 0.43; GCA_000438255.1, s__CAG-269 sp000438255, 95.0, 79.26, 0.42; GCA_000437215.1, s__CAG-269 sp000437215, 95.0, 78.85, 0.39; GCA_001916035.1, s__CAG-269 sp001916035, 95.0, 78.83, 0.36; GCA_003525075.1, s__CAG-269 sp003525075, 95.0, 78.73, 0.35; GCA_001915995.1, s__CAG-269 sp001915995, 95.0, 78.61, 0.35; GCA_000435535.1, s__CAG-269 sp000435535, 95.0, 78.56, 0.44; GCA_001916055.1, s__CAG-269 sp001916055, 95.0, 78.49, 0.31; GCA_002372935.1, s__CAG-269 sp002372935, 95.0, 77.47, 0.25; GCA_003518755.1, s__CAG-269 sp003518755, 95.0, 77.06, 0.22	89.7	11	0.947462665413	N/A
MAG050	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-269;s__	N/A	N/A	N/A	N/A	N/A	GCA_000431335.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-269;s__CAG-269 sp000431335	79.85	0.5	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-269;s__	Placement	taxonomic classification fully defined by topology	GCA_001916005.1, s__CAG-269 sp001916005, 95.0, 78.32, 0.38; GCA_000438255.1, s__CAG-269 sp000438255, 95.0, 78.24, 0.3; GCA_000437215.1, s__CAG-269 sp000437215, 95.0, 78.19, 0.37; GCA_001916065.1, s__CAG-269 sp001916065, 95.0, 78.19, 0.34; GCA_001916035.1, s__CAG-269 sp001916035, 95.0, 77.84, 0.29; GCA_003525075.1, s__CAG-269 sp003525075, 95.0, 77.69, 0.27; GCA_001916055.1, s__CAG-269 sp001916055, 95.0, 77.59, 0.26; GCA_000435535.1, s__CAG-269 sp000435535, 95.0, 77.57, 0.36; GCA_001915995.1, s__CAG-269 sp001915995, 95.0, 77.51, 0.29; GCA_003518755.1, s__CAG-269 sp003518755, 95.0, 76.88, 0.16; GCA_002372935.1, s__CAG-269 sp002372935, 95.0, 76.69, 0.21	84.84	11	0.94739659457	N/A
MAG087	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-269;s__	N/A	N/A	N/A	N/A	N/A	GCA_000431335.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-269;s__CAG-269 sp000431335	79.5	0.49	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-269;s__	Placement	taxonomic classification fully defined by topology	GCA_001916005.1, s__CAG-269 sp001916005, 95.0, 78.69, 0.36; GCA_001916065.1, s__CAG-269 sp001916065, 95.0, 78.48, 0.35; GCA_001916035.1, s__CAG-269 sp001916035, 95.0, 78.31, 0.31; GCA_000438255.1, s__CAG-269 sp000438255, 95.0, 78.16, 0.38; GCA_001915995.1, s__CAG-269 sp001915995, 95.0, 78.06, 0.33; GCA_003525075.1, s__CAG-269 sp003525075, 95.0, 78.05, 0.3; GCA_000437215.1, s__CAG-269 sp000437215, 95.0, 78.04, 0.4; GCA_000435535.1, s__CAG-269 sp000435535, 95.0, 77.98, 0.39; GCA_001916055.1, s__CAG-269 sp001916055, 95.0, 77.44, 0.25; GCA_003518755.1, s__CAG-269 sp003518755, 95.0, 76.87, 0.24; GCA_002372935.1, s__CAG-269 sp002372935, 95.0, 76.83, 0.26	78.85	11	0.944248572316	N/A
MAG037	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__;s__	Placement	taxonomic novelty determined using RED	N/A	91.79	11	0.857409222065	N/A
MAG029	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__;s__	Placement	taxonomic classification fully defined by topology	N/A	89.37	11	0.789924616294	N/A
MAG090	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__UBA7001;s__	N/A	N/A	N/A	N/A	N/A	GCA_002449785.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__UBA7001;s__UBA7001 sp002449785	79.14	0.41	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__;s__	Placement	taxonomic novelty determined using RED	N/A	91.87	11	0.920001719285	N/A
MAG098	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__UBA7001;s__	N/A	N/A	N/A	N/A	N/A	GCA_002449785.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__UBA7001;s__UBA7001 sp002449785	76.76	0.15	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__;s__	Placement	taxonomic novelty determined using RED	N/A	90.0	11	0.856657259428	N/A
MAG129	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-465;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	89.19	11	0.826183065139	N/A
MAG102	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA3282;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA3282;s__	Placement	taxonomic classification fully defined by topology	GCA_002361355.1, s__UBA3282 sp002361355, 95.0, 82.45, 0.71; GCA_002490705.1, s__UBA3282 sp002490705, 95.0, 82.0, 0.62; GCA_002491905.1, s__UBA3282 sp002491905, 95.0, 80.37, 0.48; GCA_002490835.1, s__UBA3282 sp002490835, 95.0, 79.18, 0.37; GCA_002492725.1, s__UBA3282 sp002492725, 95.0, 79.01, 0.42; GCA_002361735.1, s__UBA3282 sp002361735, 95.0, 78.93, 0.41; GCA_002493835.1, s__UBA3282 sp002493835, 95.0, 78.89, 0.34; GCA_002492525.1, s__UBA3282 sp002492525, 95.0, 78.21, 0.3	98.41	11	0.98121515897	Genome has more than 13.3% of markers with multiple hits
MAG055	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA3282;s__	N/A	N/A	N/A	N/A	N/A	GCA_002491905.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA3282;s__UBA3282 sp002491905	83.53	0.61	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA3282;s__	Placement	taxonomic classification fully defined by topology	GCA_002361355.1, s__UBA3282 sp002361355, 95.0, 80.94, 0.61; GCA_002490705.1, s__UBA3282 sp002490705, 95.0, 80.61, 0.55; GCA_002490835.1, s__UBA3282 sp002490835, 95.0, 80.23, 0.5; GCA_002361735.1, s__UBA3282 sp002361735, 95.0, 80.18, 0.53; GCA_002492725.1, s__UBA3282 sp002492725, 95.0, 80.1, 0.49; GCA_002493835.1, s__UBA3282 sp002493835, 95.0, 79.03, 0.39; GCA_002492525.1, s__UBA3282 sp002492525, 95.0, 77.9, 0.29	96.61	11	0.976351107235	N/A
MAG006	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA3282;s__	N/A	N/A	N/A	N/A	N/A	GCA_002492525.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA3282;s__UBA3282 sp002492525	84.29	0.76	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA3282;s__	Placement	taxonomic classification fully defined by topology	GCA_002361355.1, s__UBA3282 sp002361355, 95.0, 78.33, 0.39; GCA_002490705.1, s__UBA3282 sp002490705, 95.0, 78.28, 0.33; GCA_002361735.1, s__UBA3282 sp002361735, 95.0, 78.1, 0.26; GCA_002491905.1, s__UBA3282 sp002491905, 95.0, 78.06, 0.3; GCA_002490835.1, s__UBA3282 sp002490835, 95.0, 77.65, 0.27; GCA_002492725.1, s__UBA3282 sp002492725, 95.0, 77.63, 0.3; GCA_002493835.1, s__UBA3282 sp002493835, 95.0, 77.48, 0.26	95.1	11	0.973049896774	N/A
MAG092	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	96.61	11	0.920584596528	N/A
MAG007	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	82.98	11	0.920171586386	N/A
MAG014	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	89.38	11	0.915451640141	N/A
MAG120	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	95.85	11	0.906410935195	N/A
MAG002	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	93.55	11	0.895930035283	N/A
MAG119	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__	N/A	N/A	N/A	N/A	N/A	GCA_002358575.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__COE1 sp002358575	85.48	0.73	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__	Placement	taxonomic classification fully defined by topology	GCA_003513705.1, s__COE1 sp003513705, 95.0, 83.24, 0.63; GCF_000403215.1, s__COE1 sp000403215, 95.0, 79.37, 0.34; GCF_000403335.2, s__COE1 sp000403335, 95.0, 78.15, 0.13; GCA_002491195.1, s__COE1 sp002491195, 95.0, 78.07, 0.24; GCA_002490665.1, s__COE1 sp002490665, 95.0, 77.98, 0.24; GCA_001916965.1, s__COE1 sp001916965, 95.0, 77.17, 0.1; GCA_002492295.1, s__COE1 sp002492295, 95.0, 76.74, 0.14	96.53	11	0.993267748407	N/A
MAG089	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__	N/A	N/A	N/A	N/A	N/A	GCF_000403215.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__COE1 sp000403215	87.23	0.69	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__	Placement	taxonomic classification fully defined by topology	GCA_002490665.1, s__COE1 sp002490665, 95.0, 80.34, 0.4; GCA_002358575.1, s__COE1 sp002358575, 95.0, 79.7, 0.37; GCF_000403335.2, s__COE1 sp000403335, 95.0, 79.34, 0.18; GCA_002491195.1, s__COE1 sp002491195, 95.0, 79.03, 0.35; GCA_003513705.1, s__COE1 sp003513705, 95.0, 78.32, 0.28; GCA_001916965.1, s__COE1 sp001916965, 95.0, 77.63, 0.08; GCA_002492295.1, s__COE1 sp002492295, 95.0, 77.1, 0.18	91.45	11	0.990031518175	N/A
MAG126	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__	N/A	N/A	N/A	N/A	N/A	GCF_000403215.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__COE1 sp000403215	86.25	0.75	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__	Placement	taxonomic classification fully defined by topology	GCA_002490665.1, s__COE1 sp002490665, 95.0, 79.57, 0.39; GCA_002358575.1, s__COE1 sp002358575, 95.0, 78.94, 0.36; GCA_002491195.1, s__COE1 sp002491195, 95.0, 78.82, 0.37; GCA_003513705.1, s__COE1 sp003513705, 95.0, 78.12, 0.28; GCF_000403335.2, s__COE1 sp000403335, 95.0, 77.7, 0.18; GCA_001916965.1, s__COE1 sp001916965, 95.0, 77.14, 0.08; GCA_002492295.1, s__COE1 sp002492295, 95.0, 77.02, 0.18	88.27	11	0.98961002772	N/A
MAG080	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__	N/A	N/A	N/A	N/A	N/A	GCA_002491195.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__COE1 sp002491195	80.64	0.5	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__	Placement	taxonomic classification fully defined by topology	GCF_000403215.1, s__COE1 sp000403215, 95.0, 79.26, 0.35; GCA_002490665.1, s__COE1 sp002490665, 95.0, 78.55, 0.36; GCA_002358575.1, s__COE1 sp002358575, 95.0, 77.97, 0.26; GCA_003513705.1, s__COE1 sp003513705, 95.0, 77.87, 0.17; GCF_000403335.2, s__COE1 sp000403335, 95.0, 77.65, 0.14; GCA_001916965.1, s__COE1 sp001916965, 95.0, 77.3, 0.08; GCA_002492295.1, s__COE1 sp002492295, 95.0, 76.69, 0.16	94.98	11	0.976972081383	N/A
MAG100	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__	Placement	taxonomic classification fully defined by topology	GCF_000403215.1, s__COE1 sp000403215, 95.0, 80.66, 0.28; GCF_000403335.2, s__COE1 sp000403335, 95.0, 78.64, 0.16; GCA_002358575.1, s__COE1 sp002358575, 95.0, 78.37, 0.26; GCA_003513705.1, s__COE1 sp003513705, 95.0, 78.03, 0.22; GCA_002490665.1, s__COE1 sp002490665, 95.0, 77.75, 0.19; GCA_002491195.1, s__COE1 sp002491195, 95.0, 77.62, 0.16; GCA_001916965.1, s__COE1 sp001916965, 95.0, 77.2, 0.09; GCA_002492295.1, s__COE1 sp002492295, 95.0, 76.92, 0.14	96.65	11	0.957027294062	N/A
MAG013	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__	Placement	taxonomic classification fully defined by topology	GCF_000403335.2, s__COE1 sp000403335, 95.0, 82.66, 0.56; GCA_002492295.1, s__COE1 sp002492295, 95.0, 82.08, 0.65; GCA_002490665.1, s__COE1 sp002490665, 95.0, 77.74, 0.19; GCF_000403215.1, s__COE1 sp000403215, 95.0, 77.68, 0.2; GCA_002491195.1, s__COE1 sp002491195, 95.0, 77.45, 0.15; GCA_003513705.1, s__COE1 sp003513705, 95.0, 77.12, 0.1; GCA_002358575.1, s__COE1 sp002358575, 95.0, 76.99, 0.14; GCA_001916965.1, s__COE1 sp001916965, 95.0, 76.91, 0.09	84.29	11	0.975172608259	N/A
MAG132	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__	Placement	taxonomic classification fully defined by topology	GCF_000403215.1, s__COE1 sp000403215, 95.0, 78.45, 0.16; GCF_000403335.2, s__COE1 sp000403335, 95.0, 77.71, 0.14; GCA_002358575.1, s__COE1 sp002358575, 95.0, 77.59, 0.15; GCA_001916965.1, s__COE1 sp001916965, 95.0, 77.51, 0.1; GCA_002490665.1, s__COE1 sp002490665, 95.0, 77.32, 0.14; GCA_003513705.1, s__COE1 sp003513705, 95.0, 77.3, 0.14; GCA_002491195.1, s__COE1 sp002491195, 95.0, 77.11, 0.11; GCA_002492295.1, s__COE1 sp002492295, 95.0, 76.68, 0.12	93.31	11	0.943427770782	N/A
MAG005	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA7050;s__	N/A	N/A	N/A	N/A	N/A	GCA_002493905.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA7050;s__UBA7050 sp002493905	81.64	0.68	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	97.92	11	0.977673248876	N/A
MAG095	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__SZUA-378;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	97.82	11	0.874167546489	N/A
MAG124	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__	Placement	taxonomic classification fully defined by topology	GCF_900248245.1, s__Acetatifactor muris, 95.0, 77.51, 0.18; GCA_002490995.1, s__Acetatifactor sp002490995, 95.0, 76.91, 0.15; GCA_900066365.1, s__Acetatifactor sp900066365, 95.0, 76.53, 0.07; GCA_900066565.1, s__Acetatifactor sp900066565, 95.0, 76.46, 0.08; GCA_002431915.1, s__Acetatifactor sp002431915, 95.0, 76.46, 0.07; GCA_003447295.1, s__Acetatifactor sp003447295, 95.0, 76.21, 0.07; GCA_002368865.1, s__Acetatifactor sp002368865, 95.0, 75.9, 0.07; GCA_002314715.1, s__Acetatifactor sp002314715, 95.0, 75.68, 0.04	83.57	11	0.94263603448	N/A
MAG032	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__	Placement	taxonomic classification fully defined by topology	GCF_900248245.1, s__Acetatifactor muris, 95.0, 77.74, 0.13; GCA_900320485.1, s__Acetatifactor sp900320485, 95.0, 77.19, 0.05; GCA_002431915.1, s__Acetatifactor sp002431915, 95.0, 77.06, 0.09; GCA_900066365.1, s__Acetatifactor sp900066365, 95.0, 77.01, 0.1; GCA_900066565.1, s__Acetatifactor sp900066565, 95.0, 76.82, 0.1; GCA_003447295.1, s__Acetatifactor sp003447295, 95.0, 76.78, 0.08; GCA_002490995.1, s__Acetatifactor sp002490995, 95.0, 76.78, 0.11; GCA_002368865.1, s__Acetatifactor sp002368865, 95.0, 76.59, 0.07	83.39	11	0.92623813854	N/A
MAG070	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__	Placement	taxonomic classification fully defined by topology	GCA_900320485.1, s__Acetatifactor sp900320485, 95.0, 77.11, 0.08; GCA_900066365.1, s__Acetatifactor sp900066365, 95.0, 76.95, 0.1; GCF_900248245.1, s__Acetatifactor muris, 95.0, 76.95, 0.13; GCA_002431915.1, s__Acetatifactor sp002431915, 95.0, 76.88, 0.11; GCA_900066565.1, s__Acetatifactor sp900066565, 95.0, 76.84, 0.12; GCA_003447295.1, s__Acetatifactor sp003447295, 95.0, 76.62, 0.13; GCA_002490995.1, s__Acetatifactor sp002490995, 95.0, 76.56, 0.11; GCA_002368865.1, s__Acetatifactor sp002368865, 95.0, 76.31, 0.11	87.18	11	0.925944882846	N/A
MAG001	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-510;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	97.04	11	0.911713684642	N/A
MAG049	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__G11;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	94.68	11	0.88424171227	N/A
MAG104	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA2882;s__	N/A	N/A	N/A	N/A	N/A	GCA_002362385.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA2882;s__UBA2882 sp002362385	84.75	0.72	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA2882;s__	Placement	taxonomic classification fully defined by topology	GCA_900317505.1, s__UBA2882 sp900317505, 95.0, 77.49, 0.16	94.96	11	0.984166680398	N/A
MAG048	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__	Placement	taxonomic classification fully defined by topology	GCF_001405615.1, s__Agathobacter faecis, 95.0, 77.59, 0.17; GCA_900317585.1, s__Agathobacter sp900317585, 95.0, 77.24, 0.09; GCA_000434275.1, s__Agathobacter sp000434275, 95.0, 77.24, 0.18; GCA_002474415.1, s__Agathobacter sp002474415, 95.0, 77.16, 0.19; GCF_000020605.1, s__Agathobacter rectale, 95.0, 77.16, 0.07; GCA_900316805.1, s__Agathobacter sp900316805, 95.0, 77.06, 0.22; GCF_002735305.1, s__Agathobacter ruminis, 95.0, 76.68, 0.08	97.46	11	0.952353967487	N/A
MAG114	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	Placement	taxonomic classification fully defined by topology	N/A	87.62	11	0.860466087002	N/A
MAG004	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	Placement	taxonomic classification fully defined by topology	N/A	96.71	11	0.859571011465	N/A
MAG035	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_J;s__	N/A	N/A	N/A	N/A	N/A	GCF_000364225.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_J;s__Eubacterium_J plexicaudatum	81.61	0.54	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	87.66	11	0.972017396832	N/A
MAG111	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_J;s__	N/A	N/A	N/A	N/A	N/A	GCF_000364225.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_J;s__Eubacterium_J plexicaudatum	81.59	0.52	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	97.42	11	0.97200992597	N/A
MAG025	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_J;s__	N/A	N/A	N/A	N/A	N/A	GCF_000364225.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_J;s__Eubacterium_J plexicaudatum	79.01	0.37	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	96.88	11	0.963846633742	N/A
